,text,ipa,syllables,stress,audio_files,audio_urls
1619,بالصدفة,bɪsˤˈsˤʊdˤ.fe,3,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-بالصدفة.wav,https://upload.wikimedia.org/wikipedia/commons/6/6b/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D8%A7%D9%84%D8%B5%D8%AF%D9%81%D8%A9.wav
1620,بالعادة,bɪlˈʕæː.de,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-بالعادة.wav,https://upload.wikimedia.org/wikipedia/commons/4/46/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A8%D8%A7%D9%84%D8%B9%D8%A7%D8%AF%D8%A9.wav
1621,بالمرة,bɪlˈmar.ra,3,2,LL-Q55633582 (ajp)-AdrianAbdulBaha-بالمرة.wav,https://upload.wikimedia.org/wikipedia/commons/2/20/LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%A8%D8%A7%D9%84%D9%85%D8%B1%D8%A9.wav
1622,بالمية,bɪlˈmij.je,3,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-بالمية.wav,https://upload.wikimedia.org/wikipedia/commons/6/67/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D8%A7%D9%84%D9%85%D9%8A%D8%A9.wav
1623,بالنسبة,bɪnˈnɪs.be,3,2,LL-Q55633582 (ajp)-AdrianAbdulBaha-بالنسبة.wav,https://upload.wikimedia.org/wikipedia/commons/3/3e/LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%A8%D8%A7%D9%84%D9%86%D8%B3%D8%A8%D8%A9.wav
1624,بحيرة,bʊˈħaj.rˤɑ,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-بُحيرة.wav,https://upload.wikimedia.org/wikipedia/commons/0/04/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A8%D9%8F%D8%AD%D9%8A%D8%B1%D8%A9.wav
1625,بداية,biˈdæː.je,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-بِداية.wav,https://upload.wikimedia.org/wikipedia/commons/9/93/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A8%D9%90%D8%AF%D8%A7%D9%8A%D8%A9.wav
1626,برداية,burˈdæː.je,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-بُرداية.wav,https://upload.wikimedia.org/wikipedia/commons/9/9a/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A8%D9%8F%D8%B1%D8%AF%D8%A7%D9%8A%D8%A9.wav
1627,بردقاني,bʊrdˈʔæː.ni,3,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-بردقاني.wav,https://upload.wikimedia.org/wikipedia/commons/8/8d/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D8%B1%D8%AF%D9%82%D8%A7%D9%86%D9%8A.wav
1628,برنامج,barˈnæː.mɪʒ,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-بَرنامِج.wav,https://upload.wikimedia.org/wikipedia/commons/d/da/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A8%D9%8E%D8%B1%D9%86%D8%A7%D9%85%D9%90%D8%AC.wav
