fileName,name,duration,intensity1,intensity2,intensity3,intensity4,intensity5,intensity6,intensity7,intensity8,intensity9,intensity10,meanIntensity
file1040.TextGrid,2,0.460,68,75,81,82,75,74,69,56,53,43,68.925
file1041.TextGrid,1,0.530,-4,64,63,65,79,82,82,81,80,74,72.276
file1041.TextGrid,2,0.460,74,76,73,71,55,55,55,53,47,--undefined--,60.608
file1042.TextGrid,1,0.100,37,37,36,46,57,61,70,76,77,76,57.574
file1042.TextGrid,2,0.280,76,75,74,77,80,78,73,70,64,52,72.751
file1043.TextGrid,1,0.360,19,64,72,73,78,82,81,68,62,82,70.818
file1043.TextGrid,2,0.310,82,80,74,73,71,66,64,62,57,43,67.886
file1044.TextGrid,1,0.300,29,48,60,71,79,67,60,58,50,43,58.913
file1044.TextGrid,2,0.300,43,60,77,76,76,72,59,56,51,43,63.776
file1045.TextGrid,1,0.470,70,74,68,75,62,81,80,75,74,76,73.776
file1045.TextGrid,2,0.350,76,81,81,79,64,63,55,57,54,50,66.764
file1046.TextGrid,1,0.160,25,45,60,74,78,73,66,65,63,60,62.929
file1046.TextGrid,2,0.470,60,48,61,78,74,65,53,52,52,40,59.708
file1047.TextGrid,1,0.270,34,27,40,48,54,59,65,73,78,75,55.517
file1047.TextGrid,2,0.290,75,73,75,75,74,71,68,58,40,24,64.815
file1048.TextGrid,1,0.280,27,58,70,80,83,83,81,77,76,79,73.816
file1048.TextGrid,2,0.310,79,77,79,68,58,51,50,43,39,36,58.050
file1049.TextGrid,1,0.240,28,51,63,72,79,70,64,60,55,54,61.677
file1049.TextGrid,2,0.430,54,72,72,72,72,59,48,42,40,35,58.510
file105.TextGrid,1,0.280,29,64,69,68,72,77,78,78,78,75,71.027
file105.TextGrid,2,0.430,75,67,77,78,75,68,58,49,41,36,62.840
file1050.TextGrid,1,0.160,35,66,77,80,81,82,82,82,81,79,76.716
file1050.TextGrid,2,0.510,79,76,74,70,58,47,47,46,45,--undefined--,58.070
file1051.TextGrid,1,0.230,7,45,58,64,67,72,77,77,76,73,63.954
file1051.TextGrid,2,0.430,73,72,80,80,78,80,77,71,50,37,71.505
file1052.TextGrid,1,0.330,42,49,54,57,73,79,80,70,62,55,63.424
file1052.TextGrid,2,0.370,55,60,62,61,58,70,72,72,67,42,63.614
file1053.TextGrid,1,0.390,25,66,67,82,83,82,68,63,57,65,68.734
file1053.TextGrid,2,0.270,65,77,78,76,68,64,60,56,55,45,65.795
file1054.TextGrid,1,0.200,17,40,71,76,77,76,75,74,72,70,67.206
file1054.TextGrid,2,0.490,70,68,68,69,69,61,49,41,35,29,56.954
file1055.TextGrid,1,0.320,19,64,71,76,77,77,72,71,73,73,69.624
file1055.TextGrid,2,0.630,73,76,75,75,74,59,47,49,42,36,61.800
file1056.TextGrid,1,0.210,29,59,72,76,76,73,73,76,71,69,69.701
file1056.TextGrid,2,0.530,69,72,76,76,75,70,57,45,42,29,62.618
file1057.TextGrid,1,0.320,8,33,49,54,59,71,78,83,82,73,61.102
file1057.TextGrid,2,0.320,73,65,80,82,81,77,63,43,45,46,66.048
file1058.TextGrid,1,0.350,35,43,47,57,78,78,80,80,81,80,67.003
file1058.TextGrid,2,0.630,80,80,79,72,56,56,42,35,40,41,57.634
file1059.TextGrid,1,0.340,8,62,67,68,67,82,82,81,78,79,70.321
file1059.TextGrid,2,0.570,79,83,81,54,58,59,57,59,54,22,61.974
file106.TextGrid,1,0.340,67,74,74,51,52,55,54,53,49,49,57.771
file106.TextGrid,2,0.540,49,54,72,70,54,51,48,47,47,45,55.209
file1060.TextGrid,1,0.570,15,73,75,78,84,74,68,66,67,70,71.923
file1060.TextGrid,2,0.350,70,79,80,79,76,75,69,58,51,40,69.518
file1061.TextGrid,1,0.120,44,56,64,70,75,79,80,80,79,78,71.569
file1061.TextGrid,2,0.460,78,77,75,78,78,71,59,55,48,38,66.209
file1062.TextGrid,1,0.120,28,50,65,72,72,71,73,74,76,75,67.313
file1062.TextGrid,2,0.320,75,75,78,75,78,81,75,67,65,61,73.443
file1063.TextGrid,1,0.390,29,69,73,78,67,63,57,50,54,65,61.452
file1063.TextGrid,2,0.330,65,73,76,76,69,63,59,55,58,51,65.332
file1064.TextGrid,1,0.070,70,73,76,78,80,81,81,80,78,74,77.471
file1064.TextGrid,2,0.400,74,61,57,75,72,60,51,44,41,35,57.432
file1065.TextGrid,1,0.330,19,59,70,72,68,68,68,68,67,65,64.992
file1065.TextGrid,2,0.620,65,56,67,79,82,82,79,76,68,41,71.132
file1066.TextGrid,1,0.140,37,46,53,69,73,74,73,74,75,74,65.847
file1066.TextGrid,2,0.290,74,70,71,73,72,69,64,54,47,41,64.232
file1067.TextGrid,1,0.140,15,15,25,39,49,53,65,76,78,74,49.497
file1067.TextGrid,2,0.520,74,71,81,77,63,57,51,46,39,24,59.580
file1068.TextGrid,1,0.250,49,67,66,68,70,78,81,82,81,78,73.154
file1068.TextGrid,2,0.260,78,75,74,75,80,80,79,79,69,67,76.058
file1069.TextGrid,1,0.170,42,50,64,70,72,73,77,79,79,74,69.138
file1069.TextGrid,2,0.570,74,75,77,75,71,70,65,49,40,30,64.534
file107.TextGrid,1,0.320,32,67,82,78,71,69,60,54,55,68,65.403
file107.TextGrid,2,0.450,68,73,75,72,65,62,54,40,34,28,58.467
file1070.TextGrid,1,0.290,58,82,84,84,79,77,77,78,74,73,78.120
file1070.TextGrid,2,0.390,73,80,78,77,76,67,58,53,56,40,67.046
file1071.TextGrid,1,0.170,27,26,50,72,79,78,74,70,73,71,63.436
file1071.TextGrid,2,0.420,71,74,75,74,73,72,67,54,45,38,65.548
file1072.TextGrid,1,0.260,23,46,49,55,72,77,71,67,68,64,61.158
file1072.TextGrid,2,0.680,64,73,75,73,69,69,51,49,37,37,60.988
file1073.TextGrid,1,0.280,27,61,63,59,72,76,75,68,60,68,65.102
file1073.TextGrid,2,0.100,68,70,71,72,72,73,74,75,75,76,72.571
file1074.TextGrid,1,0.380,15,54,61,71,76,78,77,79,70,59,67.957
file1074.TextGrid,2,0.570,59,57,55,70,66,60,60,60,55,41,58.620
file1075.TextGrid,1,0.220,33,43,57,63,67,64,80,83,82,81,66.265
file1075.TextGrid,2,0.400,81,80,81,81,72,62,58,50,42,34,64.161
file1076.TextGrid,1,0.140,78,81,82,83,82,81,78,76,77,76,79.690
file1076.TextGrid,2,0.650,76,74,64,64,75,74,67,62,58,22,65.607
file1077.TextGrid,1,0.310,36,58,69,66,82,69,60,56,55,55,62.131
file1077.TextGrid,2,0.400,55,78,80,77,63,55,53,48,42,39,59.614
file1078.TextGrid,1,0.150,31,56,73,77,76,74,72,71,79,82,70.692
file1078.TextGrid,2,0.500,82,82,84,82,80,69,61,59,53,48,70.452
file1079.TextGrid,1,0.160,32,58,69,70,69,69,70,71,71,65,66.202
file1079.TextGrid,2,0.530,65,59,61,75,75,74,71,59,54,30,62.609
file108.TextGrid,1,0.200,30,38,54,62,62,78,78,67,61,62,60.503
file108.TextGrid,2,0.540,62,80,80,74,72,74,67,59,52,39,67.486
file1080.TextGrid,1,0.530,52,80,80,81,81,77,76,77,77,69,77.643
file1080.TextGrid,2,0.190,69,69,71,70,67,61,53,55,45,41,60.521
file1081.TextGrid,1,0.520,29,58,55,81,80,79,77,73,58,52,67.483
file1081.TextGrid,2,0.230,52,51,49,47,48,48,42,41,42,--undefined--,45.949
file1082.TextGrid,1,0.120,4,31,48,55,65,69,71,71,69,64,57.131
file1082.TextGrid,2,0.540,64,61,71,72,73,72,65,63,50,31,64.548
file1083.TextGrid,1,0.260,78,80,70,65,62,60,62,62,62,60,65.696
file1083.TextGrid,2,0.410,60,45,66,77,77,73,55,59,51,30,61.061
file1084.TextGrid,1,0.050,81,81,82,82,82,82,81,81,81,81,81.318
file1084.TextGrid,2,0.570,81,77,79,74,57,54,50,45,39,29,58.927
file1085.TextGrid,1,0.260,19,55,72,75,76,76,71,56,49,45,62.668
file1085.TextGrid,2,0.360,45,61,66,62,70,67,66,62,45,35,59.658
file1086.TextGrid,1,0.470,40,56,57,54,82,84,81,79,78,75,70.675
file1086.TextGrid,2,0.360,75,78,79,78,75,75,75,68,58,32,70.658
file1087.TextGrid,1,0.280,22,58,66,68,68,68,62,59,56,56,60.606
file1087.TextGrid,2,0.260,56,55,63,64,63,61,56,49,42,37,55.601
file1088.TextGrid,1,0.260,28,60,68,72,83,78,72,71,71,72,69.404
file1088.TextGrid,2,0.300,72,68,74,75,71,63,54,48,51,46,62.794
file1089.TextGrid,1,0.170,50,55,65,69,71,72,72,72,72,66,67.299
file1089.TextGrid,2,0.230,66,68,74,72,73,71,66,60,53,50,66.268
file109.TextGrid,1,0.340,9,52,60,62,75,81,78,76,77,71,66.903
file109.TextGrid,2,0.340,71,45,25,33,71,76,73,73,60,38,56.050
file1090.TextGrid,1,0.300,31,49,73,83,83,82,76,72,69,70,70.625
file1090.TextGrid,2,0.260,70,74,78,75,66,61,55,46,45,37,61.335
file1091.TextGrid,1,0.440,-0.4,61,69,81,80,74,67,65,60,56,66.801
file1091.TextGrid,2,0.480,56,65,76,73,66,54,45,42,41,39,56.756
file1092.TextGrid,1,0.060,40,50,55,57,59,62,64,65,67,68,59.237
file1092.TextGrid,2,0.480,68,69,72,77,75,66,72,69,62,19,67.701
file1093.TextGrid,1,0.380,-9,54,66,68,72,83,82,78,71,72,67.819
file1093.TextGrid,2,0.260,72,71,71,70,70,62,49,43,34,27,57.819
file1094.TextGrid,1,0.200,30,53,65,68,65,66,76,79,78,75,67.095
file1094.TextGrid,2,0.350,75,75,74,74,74,75,74,75,78,68,74.709
file1095.TextGrid,1,0.230,34,54,74,77,78,79,79,79,79,79,72.762
file1095.TextGrid,2,0.420,79,79,81,80,74,62,55,47,44,37,64.520
file1096.TextGrid,1,0.300,55,74,70,77,73,72,72,67,61,53,69.287
file1096.TextGrid,2,0.450,53,70,76,74,69,57,50,45,38,35,58.122
file1097.TextGrid,1,0.580,30,74,73,73,78,81,82,78,76,66,75.361
file1097.TextGrid,2,0.150,66,64,62,61,57,49,45,36,28,18,49.309
file1098.TextGrid,1,0.270,23,50,68,73,66,79,77,68,73,76,67.001
file1098.TextGrid,2,0.470,76,76,73,74,66,55,49,46,41,31,59.222
file1099.TextGrid,1,0.300,71,75,80,81,82,80,80,81,81,74,79.339
file1099.TextGrid,2,0.470,74,63,78,78,78,79,70,59,53,42,68.375
